Category,Sound,URL
animals,bee buzz,https://actions.google.com/sounds/v1/animals/bee_buzz.ogg
animals,buzzing fly,https://actions.google.com/sounds/v1/animals/buzzing_fly.ogg
animals,cat purr,https://actions.google.com/sounds/v1/animals/cat_purr.ogg
animals,cat purr close,https://actions.google.com/sounds/v1/animals/cat_purr_close.ogg
animals,cicada chirp,https://actions.google.com/sounds/v1/animals/cicada_chirp.ogg
animals,crow call,https://actions.google.com/sounds/v1/animals/crow_call.ogg
animals,crows caw in field,https://actions.google.com/sounds/v1/animals/crows_caw_in_field.ogg
animals,crows picking and eating,https://actions.google.com/sounds/v1/animals/crows_picking_and_eating.ogg
animals,distant dog barking,https://actions.google.com/sounds/v1/animals/distant_dog_barking.ogg
animals,dog barking,https://actions.google.com/sounds/v1/animals/dog_barking.ogg
animals,dog drinking close up,https://actions.google.com/sounds/v1/animals/dog_drinking_close_up.ogg
animals,dog growling,https://actions.google.com/sounds/v1/animals/dog_growling.ogg
animals,dog snarling,https://actions.google.com/sounds/v1/animals/dog_snarling.ogg
animals,dog whining,https://actions.google.com/sounds/v1/animals/dog_whining.ogg
animals,flies buzzing and circling,https://actions.google.com/sounds/v1/animals/flies_buzzing_and_circling.ogg
animals,geese outside,https://actions.google.com/sounds/v1/animals/geese_outside.ogg
animals,horse eating grass,https://actions.google.com/sounds/v1/animals/horse_eating_grass.ogg
animals,june songbirds,https://actions.google.com/sounds/v1/animals/june_songbirds.ogg
animals,june songbirds with crows,https://actions.google.com/sounds/v1/animals/june_songbirds_with_crows.ogg
animals,mouse squeaking,https://actions.google.com/sounds/v1/animals/mouse_squeaking.ogg
animals,owl hooting,https://actions.google.com/sounds/v1/animals/owl_hooting.ogg
animals,small dog wimper series,https://actions.google.com/sounds/v1/animals/small_dog_wimper_series.ogg
animals,swarming bees,https://actions.google.com/sounds/v1/animals/swarming_bees.ogg
animals,tentacle flop down,https://actions.google.com/sounds/v1/animals/tentacle_flop_down.ogg
animals,trapped dragon fly,https://actions.google.com/sounds/v1/animals/trapped_dragon_fly.ogg
animals,wasp on window,https://actions.google.com/sounds/v1/animals/wasp_on_window.ogg
animals,woodpecker eating distant,https://actions.google.com/sounds/v1/animals/woodpecker_eating_distant.ogg
animals,woodpecker pecking fast,https://actions.google.com/sounds/v1/animals/woodpecker_pecking_fast.ogg
cartoon,cartoon boing,https://actions.google.com/sounds/v1/cartoon/cartoon_boing.ogg
cartoon,cartoon cowbell,https://actions.google.com/sounds/v1/cartoon/cartoon_cowbell.ogg
cartoon,cartoon metal thunk,https://actions.google.com/sounds/v1/cartoon/cartoon_metal_thunk.ogg
cartoon,cartoon ringing hit,https://actions.google.com/sounds/v1/cartoon/cartoon_ringing_hit.ogg
cartoon,clang and wobble,https://actions.google.com/sounds/v1/cartoon/clang_and_wobble.ogg
cartoon,clown horn,https://actions.google.com/sounds/v1/cartoon/clown_horn.ogg
cartoon,clown slide sound effects,https://actions.google.com/sounds/v1/cartoon/clown_slide_sound_effects.ogg
cartoon,concussive guitar hit,https://actions.google.com/sounds/v1/cartoon/concussive_guitar_hit.ogg
cartoon,concussive hit guitar boing,https://actions.google.com/sounds/v1/cartoon/concussive_hit_guitar_boing.ogg
cartoon,continuous slide whistle,https://actions.google.com/sounds/v1/cartoon/continuous_slide_whistle.ogg
cartoon,cowbell ringing,https://actions.google.com/sounds/v1/cartoon/cowbell_ringing.ogg
cartoon,crash layer cymbals,https://actions.google.com/sounds/v1/cartoon/crash_layer_cymbals.ogg
cartoon,crash layer drumset,https://actions.google.com/sounds/v1/cartoon/crash_layer_drumset.ogg
cartoon,crash layer kick drum,https://actions.google.com/sounds/v1/cartoon/crash_layer_kick_drum.ogg
cartoon,crash layer kick pedal,https://actions.google.com/sounds/v1/cartoon/crash_layer_kick_pedal.ogg
cartoon,crazy dinner bell,https://actions.google.com/sounds/v1/cartoon/crazy_dinner_bell.ogg
cartoon,cymbal kick,https://actions.google.com/sounds/v1/cartoon/cymbal_kick.ogg
cartoon,deflate,https://actions.google.com/sounds/v1/cartoon/deflate.ogg
cartoon,drum roll,https://actions.google.com/sounds/v1/cartoon/drum_roll.ogg
cartoon,drumset falling down stairs,https://actions.google.com/sounds/v1/cartoon/drumset_falling_down_stairs.ogg
cartoon,face stretch,https://actions.google.com/sounds/v1/cartoon/face_stretch.ogg
cartoon,falling whistle,https://actions.google.com/sounds/v1/cartoon/falling_whistle.ogg
cartoon,fart long through door,https://actions.google.com/sounds/v1/cartoon/fart_long_through_door.ogg
cartoon,fart toot,https://actions.google.com/sounds/v1/cartoon/fart_toot.ogg
cartoon,finger flick series,https://actions.google.com/sounds/v1/cartoon/finger_flick_series.ogg
cartoon,getting stuck,https://actions.google.com/sounds/v1/cartoon/getting_stuck.ogg
cartoon,goofy spring bounces,https://actions.google.com/sounds/v1/cartoon/goofy_spring_bounces.ogg
cartoon,hair ripping,https://actions.google.com/sounds/v1/cartoon/hair_ripping.ogg
cartoon,hitting a woodblock,https://actions.google.com/sounds/v1/cartoon/hitting_a_woodblock.ogg
cartoon,inflating big balloon,https://actions.google.com/sounds/v1/cartoon/inflating_big_balloon.ogg
cartoon,instrument strum,https://actions.google.com/sounds/v1/cartoon/instrument_strum.ogg
cartoon,jingle bells,https://actions.google.com/sounds/v1/cartoon/jingle_bells.ogg
cartoon,long fart,https://actions.google.com/sounds/v1/cartoon/long_fart.ogg
cartoon,mechanical clock ring,https://actions.google.com/sounds/v1/cartoon/mechanical_clock_ring.ogg
cartoon,metal strike,https://actions.google.com/sounds/v1/cartoon/metal_strike.ogg
cartoon,metal twang,https://actions.google.com/sounds/v1/cartoon/metal_twang.ogg
cartoon,metallic twang high,https://actions.google.com/sounds/v1/cartoon/metallic_twang_high.ogg
cartoon,motor running muffled,https://actions.google.com/sounds/v1/cartoon/motor_running_muffled.ogg
cartoon,pop,https://actions.google.com/sounds/v1/cartoon/pop.ogg
cartoon,punchline drum,https://actions.google.com/sounds/v1/cartoon/punchline_drum.ogg
cartoon,rainstick slow,https://actions.google.com/sounds/v1/cartoon/rainstick_slow.ogg
cartoon,rubber duck squeak series,https://actions.google.com/sounds/v1/cartoon/rubber_duck_squeak_series.ogg
cartoon,rubber glove pulling on series,https://actions.google.com/sounds/v1/cartoon/rubber_glove_pulling_on_series.ogg
cartoon,rubber glove snapping series,https://actions.google.com/sounds/v1/cartoon/rubber_glove_snapping_series.ogg
cartoon,rubber squeaking,https://actions.google.com/sounds/v1/cartoon/rubber_squeaking.ogg
cartoon,siren whistle,https://actions.google.com/sounds/v1/cartoon/siren_whistle.ogg
cartoon,slap with glove,https://actions.google.com/sounds/v1/cartoon/slap_with_glove.ogg
cartoon,slapping bare skin,https://actions.google.com/sounds/v1/cartoon/slapping_bare_skin.ogg
cartoon,slapping three faces,https://actions.google.com/sounds/v1/cartoon/slapping_three_faces.ogg
cartoon,slide whistle,https://actions.google.com/sounds/v1/cartoon/slide_whistle.ogg
cartoon,slide whistle crazy series,https://actions.google.com/sounds/v1/cartoon/slide_whistle_crazy_series.ogg
cartoon,slide whistle rise and fall,https://actions.google.com/sounds/v1/cartoon/slide_whistle_rise_and_fall.ogg
cartoon,slide whistle up,https://actions.google.com/sounds/v1/cartoon/slide_whistle_up.ogg
cartoon,slide whistle to drum,https://actions.google.com/sounds/v1/cartoon/slide_whistle_to_drum.ogg
cartoon,snare roll tumbling,https://actions.google.com/sounds/v1/cartoon/snare_roll_tumbling.ogg
cartoon,strike hollow wood,https://actions.google.com/sounds/v1/cartoon/strike_hollow_wood.ogg
cartoon,suction cup pull,https://actions.google.com/sounds/v1/cartoon/suction_cup_pull.ogg
cartoon,tympani bing,https://actions.google.com/sounds/v1/cartoon/tympani_bing.ogg
cartoon,ufo zip whistle,https://actions.google.com/sounds/v1/cartoon/ufo_zip_whistle.ogg
cartoon,vomit in bathroom,https://actions.google.com/sounds/v1/cartoon/vomit_in_bathroom.ogg
cartoon,vomiting close,https://actions.google.com/sounds/v1/cartoon/vomiting_close.ogg
cartoon,wet fart,https://actions.google.com/sounds/v1/cartoon/wet_fart.ogg
cartoon,whistle toy,https://actions.google.com/sounds/v1/cartoon/whistle_toy.ogg
cartoon,wind chimes,https://actions.google.com/sounds/v1/cartoon/wind_chimes.ogg
cartoon,wind up toy,https://actions.google.com/sounds/v1/cartoon/wind_up_toy.ogg
cartoon,wood plank flicks,https://actions.google.com/sounds/v1/cartoon/wood_plank_flicks.ogg
cartoon,woodblock hit,https://actions.google.com/sounds/v1/cartoon/woodblock_hit.ogg
cartoon,wooden train whistle,https://actions.google.com/sounds/v1/cartoon/wooden_train_whistle.ogg
cartoon,woodpecker,https://actions.google.com/sounds/v1/cartoon/woodpecker.ogg
cartoon,xylophone tip toe scale up,https://actions.google.com/sounds/v1/cartoon/xylophone_tip_toe_scale_up.ogg
crowds,battle agony moans,https://actions.google.com/sounds/v1/crowds/battle_agony_moans.ogg
crowds,battle crowd celebrate stutter,https://actions.google.com/sounds/v1/crowds/battle_crowd_celebrate_stutter.ogg
crowds,battle crowd celebration,https://actions.google.com/sounds/v1/crowds/battle_crowd_celebration.ogg
crowds,battle cry high pitch,https://actions.google.com/sounds/v1/crowds/battle_cry_high_pitch.ogg
crowds,battle intimidation forest,https://actions.google.com/sounds/v1/crowds/battle_intimidation_forest.ogg
crowds,crowd talking,https://actions.google.com/sounds/v1/crowds/crowd_talking.ogg
crowds,female crowd celebration,https://actions.google.com/sounds/v1/crowds/female_crowd_celebration.ogg
crowds,human group cry out,https://actions.google.com/sounds/v1/crowds/human_group_cry_out.ogg
crowds,murmuring and talking men,https://actions.google.com/sounds/v1/crowds/murmuring_and_talking_men.ogg
crowds,quiet breathing,https://actions.google.com/sounds/v1/crowds/quiet_breathing.ogg
crowds,team cheer,https://actions.google.com/sounds/v1/crowds/team_cheer.ogg
crowds,voices angry,https://actions.google.com/sounds/v1/crowds/voices_angry.ogg
crowds,voices moaning,https://actions.google.com/sounds/v1/crowds/voices_moaning.ogg
crowds,voices murmur,https://actions.google.com/sounds/v1/crowds/voices_murmur.ogg
crowds,voices on street accent,https://actions.google.com/sounds/v1/crowds/voices_on_street_accent.ogg
crowds,wild battle crowd approach,https://actions.google.com/sounds/v1/crowds/wild_battle_crowd_approach.ogg
doors,creaking wooden door,https://actions.google.com/sounds/v1/doors/creaking_wooden_door.ogg
doors,cupboard door,https://actions.google.com/sounds/v1/doors/cupboard_door.ogg
doors,deadbolt lock,https://actions.google.com/sounds/v1/doors/deadbolt_lock.ogg
doors,door close,https://actions.google.com/sounds/v1/doors/door_close.ogg
doors,door close air suck,https://actions.google.com/sounds/v1/doors/door_close_air_suck.ogg
doors,door close far,https://actions.google.com/sounds/v1/doors/door_close_far.ogg
doors,door close and lock,https://actions.google.com/sounds/v1/doors/door_close_and_lock.ogg
doors,door hitting backstop close,https://actions.google.com/sounds/v1/doors/door_hitting_backstop_close.ogg
doors,door hitting backstop far,https://actions.google.com/sounds/v1/doors/door_hitting_backstop_far.ogg
doors,door knob,https://actions.google.com/sounds/v1/doors/door_knob.ogg
doors,door locking shut,https://actions.google.com/sounds/v1/doors/door_locking_shut.ogg
doors,door open close,https://actions.google.com/sounds/v1/doors/door_open_close.ogg
doors,door opening closing,https://actions.google.com/sounds/v1/doors/door_opening_closing.ogg
doors,door slams fast four times,https://actions.google.com/sounds/v1/doors/door_slams_fast_four_times.ogg
doors,door swinging salloon,https://actions.google.com/sounds/v1/doors/door_swinging_salloon.ogg
doors,doorknob opening,https://actions.google.com/sounds/v1/doors/doorknob_opening.ogg
doors,dragging over wood floor series,https://actions.google.com/sounds/v1/doors/dragging_over_wood_floor_series.ogg
doors,farm door creaks latch shuts,https://actions.google.com/sounds/v1/doors/farm_door_creaks_latch_shuts.ogg
doors,farm door latch,https://actions.google.com/sounds/v1/doors/farm_door_latch.ogg
doors,front door close,https://actions.google.com/sounds/v1/doors/front_door_close.ogg
doors,glass shower door,https://actions.google.com/sounds/v1/doors/glass_shower_door.ogg
doors,glass shower door shake,https://actions.google.com/sounds/v1/doors/glass_shower_door_shake.ogg
doors,heavy door close,https://actions.google.com/sounds/v1/doors/heavy_door_close.ogg
doors,hollow wood door,https://actions.google.com/sounds/v1/doors/hollow_wood_door.ogg
doors,key in lock,https://actions.google.com/sounds/v1/doors/key_in_lock.ogg
doors,knock on door,https://actions.google.com/sounds/v1/doors/knock_on_door.ogg
doors,knock on wooden door,https://actions.google.com/sounds/v1/doors/knock_on_wooden_door.ogg
doors,latch opening closing,https://actions.google.com/sounds/v1/doors/latch_opening_closing.ogg
doors,lid close wood,https://actions.google.com/sounds/v1/doors/lid_close_wood.ogg
doors,locked doorknob jiggle,https://actions.google.com/sounds/v1/doors/locked_doorknob_jiggle.ogg
doors,medicine cabinet latch,https://actions.google.com/sounds/v1/doors/medicine_cabinet_latch.ogg
doors,metal scrap rattling,https://actions.google.com/sounds/v1/doors/metal_scrap_rattling.ogg
doors,opening bathroom door,https://actions.google.com/sounds/v1/doors/opening_bathroom_door.ogg
doors,opening closing bathroom door,https://actions.google.com/sounds/v1/doors/opening_closing_bathroom_door.ogg
doors,opening closing heavy door,https://actions.google.com/sounds/v1/doors/opening_closing_heavy_door.ogg
doors,opening door with key,https://actions.google.com/sounds/v1/doors/opening_door_with_key.ogg
doors,push bar door series,https://actions.google.com/sounds/v1/doors/push_bar_door_series.ogg
doors,screen door close,https://actions.google.com/sounds/v1/doors/screen_door_close.ogg
doors,shutting refrigerator door,https://actions.google.com/sounds/v1/doors/shutting_refrigerator_door.ogg
doors,sliding closet door series,https://actions.google.com/sounds/v1/doors/sliding_closet_door_series.ogg
doors,sliding glass door,https://actions.google.com/sounds/v1/doors/sliding_glass_door.ogg
doors,sliding glass door aggressive,https://actions.google.com/sounds/v1/doors/sliding_glass_door_aggressive.ogg
doors,sliding glass door closing,https://actions.google.com/sounds/v1/doors/sliding_glass_door_closing.ogg
doors,sliding glass door latching,https://actions.google.com/sounds/v1/doors/sliding_glass_door_latching.ogg
doors,sliding glass door opening,https://actions.google.com/sounds/v1/doors/sliding_glass_door_opening.ogg
doors,sliding glass door series,https://actions.google.com/sounds/v1/doors/sliding_glass_door_series.ogg
doors,spring attic door,https://actions.google.com/sounds/v1/doors/spring_attic_door.ogg
doors,turning door knob,https://actions.google.com/sounds/v1/doors/turning_door_knob.ogg
doors,wood door open close,https://actions.google.com/sounds/v1/doors/wood_door_open_close.ogg
doors,wood door open close soft,https://actions.google.com/sounds/v1/doors/wood_door_open_close_soft.ogg
doors,wood door close hard,https://actions.google.com/sounds/v1/doors/wood_door_close_hard.ogg
doors,wood door close medium,https://actions.google.com/sounds/v1/doors/wood_door_close_medium.ogg
doors,wood door close soft,https://actions.google.com/sounds/v1/doors/wood_door_close_soft.ogg
doors,wood door close and rattle,https://actions.google.com/sounds/v1/doors/wood_door_close_and_rattle.ogg
doors,wood door open,https://actions.google.com/sounds/v1/doors/wood_door_open.ogg
doors,wood door open and close series,https://actions.google.com/sounds/v1/doors/wood_door_open_and_close_series.ogg
doors,wood rattle,https://actions.google.com/sounds/v1/doors/wood_rattle.ogg
emergency,ambulance drive siren,https://actions.google.com/sounds/v1/emergency/ambulance_drive_siren.ogg
emergency,ambulance siren,https://actions.google.com/sounds/v1/emergency/ambulance_siren.ogg
emergency,ambulance siren distant,https://actions.google.com/sounds/v1/emergency/ambulance_siren_distant.ogg
emergency,beeper emergency call,https://actions.google.com/sounds/v1/emergency/beeper_emergency_call.ogg
emergency,emergency 911 dispatch call,https://actions.google.com/sounds/v1/emergency/emergency_911_dispatch_call.ogg
emergency,emergency flare burns,https://actions.google.com/sounds/v1/emergency/emergency_flare_burns.ogg
emergency,emergency flare movement,https://actions.google.com/sounds/v1/emergency/emergency_flare_movement.ogg
emergency,emergency radio alert,https://actions.google.com/sounds/v1/emergency/emergency_radio_alert.ogg
emergency,emergency siren approaching,https://actions.google.com/sounds/v1/emergency/emergency_siren_approaching.ogg
emergency,emergency siren close long,https://actions.google.com/sounds/v1/emergency/emergency_siren_close_long.ogg
emergency,emergency siren distant,https://actions.google.com/sounds/v1/emergency/emergency_siren_distant.ogg
