id,bookId,status,errorMessage,createdAt,startedAt,completedAt,lockedAt,lockedBy,leaseExpiresAt,attempts
390007,390004,completed,,2026-03-10 04:22:27,2026-03-10 04:22:27,2026-03-10 04:26:42,,,,1
420001,420001,completed,,2026-03-13 16:33:30,2026-03-13 16:33:30,2026-03-13 16:38:32,,,,1
450001,450001,generating,,2026-03-13 18:45:20,2026-03-13 18:45:20,,2026-03-13 18:45:20,worker-UbY6hs5T,2026-03-13 18:55:20,1
450002,450002,completed,,2026-03-13 19:29:56,2026-03-13 19:29:56,2026-03-13 19:33:00,,,,1
480001,480001,queued,,2026-03-14 18:15:13,2026-03-14 18:15:14,,,,,1
